iter	Logloss
0	0.6901262218
1	0.6870929343
2	0.684638083
3	0.6810438888
4	0.6785878965
5	0.6759532903
6	0.6724660141
7	0.6696236488
8	0.6664990031
9	0.6636682848
10	0.6602528436
11	0.6575550054
12	0.6551969108
13	0.6522425952
14	0.6491633895
15	0.6466277128
16	0.6439117733
17	0.6409330538
18	0.6375513659
19	0.6347698328
20	0.6322714289
21	0.629773929
22	0.6271688143
23	0.6242932791
24	0.6216818974
25	0.6191146941
26	0.6162835161
27	0.6138819428
28	0.6115357549
29	0.6093430718
30	0.6071101228
31	0.6040318339
32	0.6012789337
33	0.5976356509
34	0.5955918162
35	0.5933290195
36	0.5903892631
37	0.5886355823
38	0.5866796828
39	0.5844306123
40	0.5821866052
41	0.5791518064
42	0.5769064327
43	0.5736041963
44	0.5714065688
45	0.569119706
46	0.5670315396
47	0.5642744232
48	0.5621324011
49	0.5595215531
50	0.5574522771
51	0.5553047898
52	0.5533712109
53	0.5512467878
54	0.5487427768
55	0.5466450453
56	0.5446378049
57	0.5428466215
58	0.5408840222
59	0.5393224543
60	0.537402847
61	0.534684922
62	0.5325299331
63	0.5301721791
64	0.5282259676
65	0.5262481762
66	0.5240419159
67	0.5222343831
68	0.5202137771
69	0.5182756853
70	0.5164013768
71	0.5139473201
72	0.511795161
73	0.5097259744
74	0.5075032072
75	0.5049266418
76	0.5030339637
77	0.5011772116
78	0.4986296282
79	0.4970973787
80	0.4947395495
81	0.49220075
82	0.4894777089
83	0.4875103335
84	0.4852190493
85	0.4837050892
86	0.4815338438
87	0.479813145
88	0.477706521
89	0.4758595604
90	0.4739523565
91	0.4722638762
92	0.4702218487
93	0.4688778385
94	0.4668459431
95	0.4648373035
96	0.4630522033
97	0.4608894438
98	0.4593825177
99	0.4579531884
100	0.455613479
101	0.4538552342
102	0.4522117724
103	0.450252738
104	0.4482904162
105	0.4467239337
106	0.4450920054
107	0.4435554899
108	0.4417336541
109	0.4399878035
110	0.438044558
111	0.4362375793
112	0.4341190195
113	0.4324227281
114	0.4305797283
115	0.4290852348
116	0.4278301036
117	0.4259598688
118	0.4244482709
119	0.4224614444
120	0.421153683
121	0.4193039856
122	0.4176282549
123	0.4159318961
124	0.4142534208
125	0.4124447143
126	0.410846657
127	0.4089132831
128	0.4068462089
129	0.4051949431
130	0.4038534548
131	0.4024320195
132	0.4011926878
133	0.3998741479
134	0.3981058761
135	0.3966634458
136	0.3954836513
137	0.3939735024
138	0.3919649954
139	0.3904706304
140	0.3890673717
141	0.3874326951
142	0.3862331744
143	0.384857695
144	0.3831899528
145	0.381256508
146	0.3798758104
147	0.3784943713
148	0.3766799356
149	0.375477116
150	0.3740248552
151	0.3723728117
152	0.3706390276
153	0.3695963167
154	0.36837476
155	0.3672148351
156	0.3656179245
157	0.3642847971
158	0.3631793864
159	0.3620930733
160	0.3611893022
161	0.3596258064
162	0.3586512605
163	0.35736103
164	0.3555521475
165	0.3544843665
166	0.3528603599
167	0.3512953761
168	0.3499128045
169	0.3481363491
170	0.3467576454
171	0.3454213561
172	0.3440383644
173	0.3428593271
174	0.341582558
175	0.3404794775
176	0.339135126
177	0.3380133836
178	0.336639647
179	0.3354485475
180	0.3340564065
181	0.3328583716
182	0.3319538193
183	0.3309045775
184	0.3297356623
185	0.3284765333
186	0.3270357854
187	0.3259282765
188	0.3247516425
189	0.3238537524
190	0.3227143153
191	0.3215684579
192	0.3205997717
193	0.3197876456
194	0.3190558319
195	0.3179749541
196	0.3172950702
197	0.3164074669
198	0.315535661
199	0.3145055217
200	0.3132156112
201	0.3119867529
202	0.3112641906
203	0.3104163394
204	0.3094596253
205	0.3085035036
206	0.3076517578
207	0.3068283718
208	0.3058409407
209	0.3047467133
210	0.3037473048
211	0.3029573939
212	0.3018923881
213	0.3010075685
214	0.2998261906
215	0.2989513704
216	0.2977409366
217	0.2967244514
218	0.2959194794
219	0.2947324922
220	0.2931718613
221	0.2923103266
222	0.2918058275
223	0.2910523259
224	0.2901809524
225	0.2890510485
226	0.288051916
227	0.2870486045
228	0.2855428305
229	0.2848310261
230	0.2840991347
231	0.2832302834
232	0.2823469745
233	0.281246357
234	0.2804750782
235	0.2796238249
236	0.2786425749
237	0.2775388066
238	0.2767521814
239	0.2751525293
240	0.2741791038
241	0.2731182941
242	0.2721867558
243	0.2712590152
244	0.2702389601
245	0.2693897766
246	0.2680974393
247	0.2672879032
248	0.2666211483
249	0.2657600609
250	0.2645776361
251	0.263614784
252	0.2629181597
253	0.2621876757
254	0.2614660096
255	0.260898484
256	0.2601007099
257	0.2588262061
258	0.258201796
259	0.2573531479
260	0.256501168
261	0.2558921632
262	0.2549833691
263	0.2539278868
264	0.2532518552
265	0.2522890596
266	0.251699134
267	0.2505356205
268	0.2498016155
269	0.2488947713
270	0.2483579013
271	0.2472698497
272	0.2464249989
273	0.2454573218
274	0.2445161179
275	0.2439612452
276	0.2432196878
277	0.2424639737
278	0.2415810742
279	0.2409052249
280	0.2401139112
281	0.2395274558
282	0.2389877023
283	0.2384208015
284	0.2376171354
285	0.2366742172
286	0.2359954828
287	0.2352023306
288	0.234598455
289	0.2340852196
290	0.2335061019
291	0.2326041588
292	0.231998516
293	0.2311510916
294	0.2306457134
295	0.2297046078
296	0.229054269
297	0.2283803264
298	0.2278449127
299	0.2271238299
300	0.2261770506
301	0.2255597164
302	0.2249423954
303	0.2244492592
304	0.2235332486
305	0.222979122
306	0.222110175
307	0.2212999697
308	0.2204722695
309	0.2199646994
310	0.2193171538
311	0.2186056819
312	0.218098164
313	0.2172557243
314	0.2165524136
315	0.2159064827
316	0.2151743653
317	0.2146452782
318	0.2138307478
319	0.2133944677
320	0.212818051
321	0.212253501
322	0.2117511137
323	0.2111963938
324	0.2107539514
325	0.2099973939
326	0.2093186105
327	0.2085235346
328	0.2077115976
329	0.2072309369
330	0.2064616783
331	0.2058624263
332	0.2052160246
333	0.2045384312
334	0.2039030375
335	0.2034928607
336	0.2027484299
337	0.2021733551
338	0.2016265793
339	0.2010391411
340	0.2004305493
341	0.1998751962
342	0.1992726429
343	0.19870572
344	0.1981251744
345	0.1976627268
346	0.1970726156
347	0.1965521702
348	0.1957298379
349	0.1950551573
350	0.1943336087
351	0.193841981
352	0.1932330107
353	0.1927727422
354	0.1920542806
355	0.191424301
356	0.1909634623
357	0.1901349574
358	0.189678449
359	0.1892138461
360	0.1886411682
361	0.1880593452
362	0.1876002735
363	0.1871056124
364	0.1866844034
365	0.186126555
366	0.1856513375
367	0.185076241
368	0.1846895356
369	0.1841384478
370	0.1836336734
371	0.1831170792
372	0.1825303276
373	0.1819803108
374	0.1813921694
375	0.1808473102
376	0.1804909057
377	0.1799290393
378	0.1794365346
379	0.1789754579
380	0.1785619674
381	0.1781079063
382	0.1776089164
383	0.1770603983
384	0.1765355567
385	0.1758534067
386	0.1754035237
387	0.1749581262
388	0.1745373727
389	0.1738489822
390	0.1733799829
391	0.173065138
392	0.1724553202
393	0.1720931131
394	0.1716385471
395	0.1710633554
396	0.1707558941
397	0.1700836539
398	0.1696677364
399	0.1692856486
400	0.1688959405
401	0.1683262461
402	0.1679901919
403	0.1676156851
404	0.1671769553
405	0.1665958177
406	0.1661077674
407	0.165700858
408	0.1652743384
409	0.1648115732
410	0.1642448526
411	0.1637205567
412	0.1633273313
413	0.1627392858
414	0.1622303542
415	0.1617078607
416	0.1612678027
417	0.1606704013
418	0.1601698587
419	0.1598238149
420	0.1594580811
421	0.1590708148
422	0.1586661639
423	0.1581078963
424	0.1575497066
425	0.1571798055
426	0.1569025958
427	0.1564928029
428	0.1559664399
429	0.1556432756
430	0.1552994877
431	0.1548476984
432	0.1544090712
433	0.1539790767
434	0.1536033471
